page_start	page_end	method	text_extracted_yes_no	ocr_used_yes_no	confidence	notable_terms	notes
477	477	pdftotext -layout	yes	no	high		form_feed_split
478	478	pdftotext -layout	yes	no	high		form_feed_split
479	479	pdftotext -layout	yes	no	high		form_feed_split
480	480	pdftotext -layout	yes	no	high		form_feed_split
481	481	pdftotext -layout	yes	no	high		form_feed_split
482	482	pdftotext -layout	yes	no	high		form_feed_split
483	483	pdftotext -layout	yes	no	high		form_feed_split
484	484	pdftotext -layout	yes	no	high		form_feed_split
485	485	pdftotext -layout	yes	no	high		form_feed_split
486	486	pdftotext -layout	yes	no	high		form_feed_split
487	487	pdftotext -layout	yes	no	high		form_feed_split
488	488	pdftotext -layout	yes	no	high		form_feed_split
489	489	pdftotext -layout	yes	no	high		form_feed_split
490	490	pdftotext -layout	yes	no	high		form_feed_split
491	491	pdftotext -layout	yes	no	high		form_feed_split
492	492	pdftotext -layout	yes	no	high		form_feed_split
493	493	pdftotext -layout	yes	no	high		form_feed_split
494	494	pdftotext -layout	yes	no	high		form_feed_split
495	495	pdftotext -layout	yes	no	high		form_feed_split
496	496	pdftotext -layout	yes	no	high		form_feed_split
497	497	pdftotext -layout	yes	no	high		form_feed_split
498	498	pdftotext -layout	yes	no	high		form_feed_split
499	499	pdftotext -layout	yes	no	high		form_feed_split
500	500	pdftotext -layout	yes	no	high		form_feed_split
501	501	pdftotext -layout	yes	no	high		form_feed_split
502	502	pdftotext -layout	yes	no	high		form_feed_split
503	503	pdftotext -layout	yes	no	high		form_feed_split
504	504	pdftotext -layout	yes	no	high		form_feed_split
505	505	pdftotext -layout	yes	no	high	MC2	form_feed_split
506	506	pdftotext -layout	yes	no	high		form_feed_split
507	507	pdftotext -layout	yes	no	high		form_feed_split
508	508	pdftotext -layout	yes	no	high		form_feed_split
509	509	pdftotext -layout	yes	no	high	Leslie Wexner; Ehud Barak	form_feed_split
510	510	pdftotext -layout	yes	no	high		form_feed_split
511	511	pdftotext -layout	yes	no	high		form_feed_split
512	512	pdftotext -layout	yes	no	high		form_feed_split
513	513	pdftotext -layout	yes	no	high		form_feed_split
514	514	pdftotext -layout	yes	no	high		form_feed_split
515	515	pdftotext -layout	yes	no	high		form_feed_split
516	516	pdftotext -layout	yes	no	high		form_feed_split
517	517	pdftotext -layout	yes	no	high		form_feed_split
518	518	pdftotext -layout	yes	no	high		form_feed_split
519	519	pdftotext -layout	yes	no	high		form_feed_split
520	520	pdftotext -layout	yes	no	high		form_feed_split
521	521	pdftotext -layout	yes	no	high		form_feed_split
522	522	pdftotext -layout	yes	no	high		form_feed_split
523	523	pdftotext -layout	yes	no	high	MC2	form_feed_split
524	524	pdftotext -layout	yes	no	high		form_feed_split
525	525	pdftotext -layout	yes	no	high	NSO Group; TerraMar	form_feed_split
526	526	pdftotext -layout	yes	no	high	Leon Black	form_feed_split
527	527	pdftotext -layout	yes	no	high		form_feed_split
528	528	pdftotext -layout	yes	no	high	Jean-Luc Brunel; NSO Group	form_feed_split
529	529	pdftotext -layout	yes	no	high		form_feed_split
530	530	pdftotext -layout	yes	no	high		form_feed_split
531	531	pdftotext -layout	yes	no	high	Carbyne911; Carbyne	form_feed_split
532	532	pdftotext -layout	yes	no	high		form_feed_split
533	533	pdftotext -layout	yes	no	high		form_feed_split
534	534	pdftotext -layout	yes	no	high	Ghislaine Maxwell	form_feed_split
535	535	pdftotext -layout	yes	no	high		form_feed_split
536	536	pdftotext -layout	yes	no	high		form_feed_split
537	537	pdftotext -layout	yes	no	high		form_feed_split
538	538	pdftotext -layout	yes	no	high		form_feed_split
539	539	pdftotext -layout	yes	no	high		form_feed_split
540	540	pdftotext -layout	yes	no	high		form_feed_split
541	541	pdftotext -layout	yes	no	high		form_feed_split
542	542	pdftotext -layout	yes	no	high		form_feed_split
543	543	pdftotext -layout	yes	no	high		form_feed_split
544	544	pdftotext -layout	yes	no	high		form_feed_split
545	545	pdftotext -layout	yes	no	high		form_feed_split
546	546	pdftotext -layout	yes	no	high	Ehud Barak	form_feed_split
547	547	pdftotext -layout	yes	no	high		form_feed_split
548	548	pdftotext -layout	yes	no	high		form_feed_split
549	549	pdftotext -layout	yes	no	high	Ehud Barak	form_feed_split
550	550	pdftotext -layout	yes	no	high		form_feed_split
551	551	pdftotext -layout	yes	no	high		form_feed_split
552	552	pdftotext -layout	yes	no	high		form_feed_split
553	553	pdftotext -layout	yes	no	high		form_feed_split
554	554	pdftotext -layout	yes	no	high		form_feed_split
555	555	pdftotext -layout	yes	no	high		form_feed_split
556	556	pdftotext -layout	yes	no	high		form_feed_split
557	557	pdftotext -layout	yes	no	high		form_feed_split
558	558	pdftotext -layout	yes	no	high		form_feed_split
559	559	pdftotext -layout	yes	no	high		form_feed_split
560	560	pdftotext -layout	yes	no	high		form_feed_split
561	561	pdftotext -layout	yes	no	high		form_feed_split
562	562	pdftotext -layout	yes	no	high		form_feed_split
563	563	pdftotext -layout	yes	no	high		form_feed_split
564	564	pdftotext -layout	yes	no	high		form_feed_split
565	565	pdftotext -layout	yes	no	high		form_feed_split
566	566	pdftotext -layout	yes	no	high		form_feed_split
567	567	pdftotext -layout	yes	no	high		form_feed_split
568	568	pdftotext -layout	yes	no	high		form_feed_split
569	569	pdftotext -layout	yes	no	high		form_feed_split
570	570	pdftotext -layout	yes	no	high		form_feed_split
571	571	pdftotext -layout	yes	no	high		form_feed_split
572	572	pdftotext -layout	yes	no	high		form_feed_split
573	573	pdftotext -layout	yes	no	high		form_feed_split
574	574	pdftotext -layout	yes	no	high		form_feed_split
575	575	pdftotext -layout	yes	no	high		form_feed_split
576	576	pdftotext -layout	yes	no	high		form_feed_split
577	577	pdftotext -layout	yes	no	high		form_feed_split
578	578	pdftotext -layout	yes	no	high		form_feed_split
579	579	pdftotext -layout	yes	no	high		form_feed_split
580	580	pdftotext -layout	yes	no	high		form_feed_split
581	581	pdftotext -layout	yes	no	high		form_feed_split
582	582	pdftotext -layout	yes	no	high		form_feed_split
583	583	pdftotext -layout	yes	no	high		form_feed_split
584	584	pdftotext -layout	yes	no	high	Carbyne911; Carbyne	form_feed_split
585	585	pdftotext -layout	yes	no	high		form_feed_split
586	586	pdftotext -layout	yes	no	high		form_feed_split
587	587	pdftotext -layout	yes	no	high		form_feed_split
588	588	pdftotext -layout	yes	no	high		form_feed_split
589	589	pdftotext -layout	yes	no	high	Carbyne911; Carbyne	form_feed_split
590	590	pdftotext -layout	yes	no	high		form_feed_split
591	591	pdftotext -layout	yes	no	high		form_feed_split
592	592	pdftotext -layout	yes	no	high		form_feed_split
593	593	pdftotext -layout	yes	no	high		form_feed_split
594	594	pdftotext -layout	yes	no	high		form_feed_split
595	595	pdftotext -layout	yes	no	high		form_feed_split
596	596	pdftotext -layout	yes	no	high		form_feed_split
597	597	pdftotext -layout	yes	no	high		form_feed_split
598	598	pdftotext -layout	yes	no	high		form_feed_split
599	599	pdftotext -layout	yes	no	high		form_feed_split
600	600	pdftotext -layout	yes	no	high		form_feed_split
601	601	pdftotext -layout	yes	no	high		form_feed_split
602	602	pdftotext -layout	yes	no	high		form_feed_split
603	603	pdftotext -layout	yes	no	high		form_feed_split
604	604	pdftotext -layout	yes	no	high	MC2	form_feed_split
605	605	pdftotext -layout	yes	no	high		form_feed_split
606	606	pdftotext -layout	yes	no	high	Carbyne	form_feed_split
607	607	pdftotext -layout	yes	no	high	MC2	form_feed_split
608	608	pdftotext -layout	yes	no	high		form_feed_split
609	609	pdftotext -layout	yes	no	high		form_feed_split
610	610	pdftotext -layout	yes	no	high		form_feed_split
611	611	pdftotext -layout	yes	no	high		form_feed_split
612	612	pdftotext -layout	yes	no	high		form_feed_split
613	613	pdftotext -layout	yes	no	high		form_feed_split
614	614	pdftotext -layout	yes	no	high		form_feed_split
615	615	pdftotext -layout	yes	no	high		form_feed_split
616	616	pdftotext -layout	yes	no	high		form_feed_split
617	617	pdftotext -layout	yes	no	high		form_feed_split
618	618	pdftotext -layout	yes	no	high		form_feed_split
619	619	pdftotext -layout	yes	no	high		form_feed_split
620	620	pdftotext -layout	yes	no	high		form_feed_split
621	621	pdftotext -layout	yes	no	high		form_feed_split
622	622	pdftotext -layout	yes	no	high		form_feed_split
623	623	pdftotext -layout	yes	no	high		form_feed_split
624	624	pdftotext -layout	yes	no	high		form_feed_split
625	625	pdftotext -layout	yes	no	high		form_feed_split
626	626	pdftotext -layout	yes	no	high		form_feed_split
627	627	pdftotext -layout	yes	no	high		form_feed_split
628	628	pdftotext -layout	yes	no	high		form_feed_split
629	629	pdftotext -layout	yes	no	high		form_feed_split
630	630	pdftotext -layout	yes	no	high		form_feed_split
631	631	pdftotext -layout	yes	no	high		form_feed_split
632	632	pdftotext -layout	yes	no	high		form_feed_split
633	633	pdftotext -layout	yes	no	high		form_feed_split
634	634	pdftotext -layout	yes	no	high		form_feed_split
635	635	pdftotext -layout	yes	no	high		form_feed_split
636	636	pdftotext -layout	yes	no	high		form_feed_split
637	637	pdftotext -layout	yes	no	high		form_feed_split
638	638	pdftotext -layout	yes	no	high		form_feed_split
639	639	pdftotext -layout	yes	no	high		form_feed_split
640	640	pdftotext -layout	yes	no	high		form_feed_split
641	641	pdftotext -layout	yes	no	high		form_feed_split
642	642	pdftotext -layout	yes	no	high		form_feed_split
643	643	pdftotext -layout	yes	no	high		form_feed_split
644	644	pdftotext -layout	yes	no	high		form_feed_split
645	645	pdftotext -layout	yes	no	high		form_feed_split
646	646	pdftotext -layout	yes	no	high		form_feed_split
647	647	pdftotext -layout	yes	no	high		form_feed_split
648	648	pdftotext -layout	yes	no	high		form_feed_split
649	649	pdftotext -layout	yes	no	high		form_feed_split
650	650	pdftotext -layout	yes	no	high		form_feed_split
651	651	pdftotext -layout	yes	no	high		form_feed_split
652	652	pdftotext -layout	yes	no	high		form_feed_split
653	653	pdftotext -layout	yes	no	high		form_feed_split
654	654	pdftotext -layout	yes	no	high		form_feed_split
655	655	pdftotext -layout	yes	no	high		form_feed_split
656	656	pdftotext -layout	yes	no	high		form_feed_split
657	657	pdftotext -layout	yes	no	high		form_feed_split
658	658	pdftotext -layout	yes	no	high		form_feed_split
659	659	pdftotext -layout	yes	no	high		form_feed_split
660	660	pdftotext -layout	yes	no	high		form_feed_split
661	661	pdftotext -layout	yes	no	high		form_feed_split
662	662	pdftotext -layout	yes	no	high		form_feed_split
663	663	pdftotext -layout	yes	no	high		form_feed_split
664	664	pdftotext -layout	yes	no	high		form_feed_split
665	665	pdftotext -layout	yes	no	high		form_feed_split
666	666	pdftotext -layout	yes	no	high		form_feed_split
667	667	pdftotext -layout	yes	no	high		form_feed_split
668	668	pdftotext -layout	yes	no	high	Ehud Barak; Carbyne911; Carbyne	form_feed_split
669	669	pdftotext -layout	yes	no	high	Jean-Luc Brunel; MC2	form_feed_split
670	670	pdftotext -layout	yes	no	high		form_feed_split
671	671	pdftotext -layout	yes	no	high		form_feed_split
672	672	pdftotext -layout	yes	no	high		form_feed_split
673	673	pdftotext -layout	yes	no	high	MC2	form_feed_split
674	674	pdftotext -layout	yes	no	high		form_feed_split
675	675	pdftotext -layout	yes	no	high	MC2	form_feed_split
676	676	pdftotext -layout	yes	no	high		form_feed_split
677	677	pdftotext -layout	yes	no	high		form_feed_split
678	678	pdftotext -layout	yes	no	high		form_feed_split
679	679	pdftotext -layout	yes	no	low		form_feed_split
680	680	pdftotext -layout	yes	no	high		form_feed_split
681	681	pdftotext -layout	yes	no	high		form_feed_split
682	682	pdftotext -layout	yes	no	high		form_feed_split
683	683	pdftotext -layout	yes	no	high		form_feed_split
684	684	pdftotext -layout	yes	no	high		form_feed_split
685	685	pdftotext -layout	yes	no	high		form_feed_split
686	686	pdftotext -layout	yes	no	high		form_feed_split
687	687	pdftotext -layout	yes	no	high		form_feed_split
688	688	pdftotext -layout	yes	no	high		form_feed_split
689	689	pdftotext -layout	yes	no	high		form_feed_split
690	690	pdftotext -layout	yes	no	high		form_feed_split
691	691	pdftotext -layout	yes	no	high		form_feed_split
692	692	pdftotext -layout	yes	no	high		form_feed_split
693	693	pdftotext -layout	yes	no	high		form_feed_split
694	694	pdftotext -layout	yes	no	high		form_feed_split
695	695	pdftotext -layout	yes	no	high		form_feed_split
696	696	pdftotext -layout	yes	no	high		form_feed_split
697	697	pdftotext -layout	yes	no	high		form_feed_split
698	698	pdftotext -layout	yes	no	high		form_feed_split
699	699	pdftotext -layout	yes	no	high		form_feed_split
700	700	pdftotext -layout	yes	no	high		form_feed_split
701	701	pdftotext -layout	yes	no	high		form_feed_split
702	702	pdftotext -layout	yes	no	high		form_feed_split
703	703	pdftotext -layout	yes	no	high		form_feed_split
704	704	pdftotext -layout	yes	no	high		form_feed_split
705	705	pdftotext -layout	yes	no	high		form_feed_split
706	706	pdftotext -layout	yes	no	high		form_feed_split
707	707	pdftotext -layout	yes	no	high		form_feed_split
708	708	pdftotext -layout	yes	no	high		form_feed_split
709	709	pdftotext -layout	yes	no	high		form_feed_split
710	710	pdftotext -layout	yes	no	high		form_feed_split
711	711	pdftotext -layout	yes	no	high		form_feed_split
712	712	pdftotext -layout	yes	no	high		form_feed_split
713	713	pdftotext -layout	yes	no	high		form_feed_split
714	714	pdftotext -layout	yes	no	high		form_feed_split
715	715	pdftotext -layout	yes	no	high		form_feed_split
716	716	pdftotext -layout	yes	no	high		form_feed_split
717	717	pdftotext -layout	yes	no	high		form_feed_split
718	718	pdftotext -layout	yes	no	high		form_feed_split
719	719	pdftotext -layout	yes	no	high		form_feed_split
720	720	pdftotext -layout	yes	no	high		form_feed_split
721	721	pdftotext -layout	yes	no	high		form_feed_split
722	722	pdftotext -layout	yes	no	high		form_feed_split
723	723	pdftotext -layout	yes	no	high		form_feed_split
724	724	pdftotext -layout	yes	no	high		form_feed_split
725	725	pdftotext -layout	yes	no	high		form_feed_split
726	726	pdftotext -layout	yes	no	high		form_feed_split
727	727	pdftotext -layout	yes	no	high		form_feed_split
728	728	pdftotext -layout	yes	no	high		form_feed_split
729	729	pdftotext -layout	yes	no	high		form_feed_split
730	730	pdftotext -layout	yes	no	high		form_feed_split
731	731	pdftotext -layout	yes	no	high		form_feed_split
732	732	pdftotext -layout	yes	no	high		form_feed_split
733	733	pdftotext -layout	yes	no	high		form_feed_split
734	734	pdftotext -layout	yes	no	high		form_feed_split
735	735	pdftotext -layout	yes	no	high		form_feed_split
736	736	pdftotext -layout	yes	no	high		form_feed_split
737	737	pdftotext -layout	yes	no	high		form_feed_split
738	738	pdftotext -layout	yes	no	high		form_feed_split
739	739	pdftotext -layout	yes	no	high		form_feed_split
740	740	pdftotext -layout	yes	no	high		form_feed_split
741	741	pdftotext -layout	yes	no	high		form_feed_split
742	742	pdftotext -layout	yes	no	high		form_feed_split
743	743	pdftotext -layout	yes	no	high		form_feed_split
744	744	pdftotext -layout	yes	no	high		form_feed_split
745	745	pdftotext -layout	yes	no	high		form_feed_split
746	746	pdftotext -layout	yes	no	high		form_feed_split
747	747	pdftotext -layout	yes	no	high		form_feed_split
748	748	pdftotext -layout	yes	no	high		form_feed_split
749	749	pdftotext -layout	yes	no	high		form_feed_split
750	750	pdftotext -layout	yes	no	high		form_feed_split
751	751	pdftotext -layout	yes	no	high		form_feed_split
752	752	pdftotext -layout	yes	no	high		form_feed_split
753	753	pdftotext -layout	yes	no	high		form_feed_split
754	754	pdftotext -layout	yes	no	high		form_feed_split
755	755	pdftotext -layout	yes	no	high		form_feed_split
756	756	pdftotext -layout	yes	no	high		form_feed_split
757	757	pdftotext -layout	yes	no	high		form_feed_split
758	758	pdftotext -layout	yes	no	high		form_feed_split
759	759	pdftotext -layout	yes	no	high		form_feed_split
760	760	pdftotext -layout	yes	no	high		form_feed_split
761	761	pdftotext -layout	yes	no	high		form_feed_split
762	762	pdftotext -layout	yes	no	high		form_feed_split
763	763	pdftotext -layout	yes	no	high		form_feed_split
764	764	pdftotext -layout	yes	no	high		form_feed_split
765	765	pdftotext -layout	yes	no	high		form_feed_split
766	766	pdftotext -layout	yes	no	high		form_feed_split
767	767	pdftotext -layout	yes	no	high		form_feed_split
768	768	pdftotext -layout	yes	no	high		form_feed_split
769	769	pdftotext -layout	yes	no	high		form_feed_split
770	770	pdftotext -layout	yes	no	high		form_feed_split
771	771	pdftotext -layout	yes	no	high		form_feed_split
772	772	pdftotext -layout	yes	no	high		form_feed_split
773	773	pdftotext -layout	yes	no	high		form_feed_split
774	774	pdftotext -layout	yes	no	high		form_feed_split
775	775	pdftotext -layout	yes	no	high		form_feed_split
776	776	pdftotext -layout	yes	no	high	TerraMar	form_feed_split
777	777	pdftotext -layout	yes	no	high		form_feed_split
778	778	pdftotext -layout	yes	no	high		form_feed_split
779	779	pdftotext -layout	yes	no	high		form_feed_split
780	780	pdftotext -layout	yes	no	high		form_feed_split
781	781	pdftotext -layout	yes	no	high		form_feed_split
782	782	pdftotext -layout	yes	no	high		form_feed_split
783	783	pdftotext -layout	yes	no	high		form_feed_split
784	784	pdftotext -layout	yes	no	high		form_feed_split
785	785	pdftotext -layout	yes	no	high		form_feed_split
786	786	pdftotext -layout	yes	no	high	NSO Group	form_feed_split
787	787	pdftotext -layout	yes	no	high	Carbyne911; Carbyne	form_feed_split
788	788	pdftotext -layout	yes	no	high		form_feed_split
789	789	pdftotext -layout	yes	no	high		form_feed_split
790	790	pdftotext -layout	yes	no	high		form_feed_split
791	791	pdftotext -layout	yes	no	high		form_feed_split
792	792	pdftotext -layout	yes	no	high	Black Cube	form_feed_split
793	793	pdftotext -layout	yes	no	high		form_feed_split
794	794	pdftotext -layout	yes	no	high		form_feed_split
795	795	pdftotext -layout	yes	no	high	Carbyne911; Carbyne	form_feed_split
796	796	pdftotext -layout	yes	no	high		form_feed_split
797	797	pdftotext -layout	yes	no	high		form_feed_split
798	798	pdftotext -layout	yes	no	high	NSO Group	form_feed_split
799	799	pdftotext -layout	yes	no	high		form_feed_split
800	800	pdftotext -layout	yes	no	high		form_feed_split
801	801	pdftotext -layout	yes	no	high		form_feed_split
802	802	pdftotext -layout	yes	no	high		form_feed_split
803	803	pdftotext -layout	yes	no	high		form_feed_split
804	804	pdftotext -layout	yes	no	high		form_feed_split
805	805	pdftotext -layout	yes	no	high		form_feed_split
806	806	pdftotext -layout	yes	no	high		form_feed_split
807	807	pdftotext -layout	yes	no	high		form_feed_split
808	808	pdftotext -layout	yes	no	high		form_feed_split
809	809	pdftotext -layout	yes	no	high		form_feed_split
810	810	pdftotext -layout	yes	no	high		form_feed_split
811	811	pdftotext -layout	yes	no	high		form_feed_split
812	812	pdftotext -layout	yes	no	high		form_feed_split
813	813	pdftotext -layout	yes	no	high		form_feed_split
814	814	pdftotext -layout	yes	no	high		form_feed_split
815	815	pdftotext -layout	yes	no	high		form_feed_split
816	816	pdftotext -layout	yes	no	high		form_feed_split
817	817	pdftotext -layout	yes	no	high		form_feed_split
818	818	pdftotext -layout	yes	no	high		form_feed_split
819	819	pdftotext -layout	yes	no	high		form_feed_split
820	820	pdftotext -layout	yes	no	high		form_feed_split
821	821	pdftotext -layout	yes	no	high		form_feed_split
822	822	pdftotext -layout	yes	no	high		form_feed_split
823	823	pdftotext -layout	yes	no	high		form_feed_split
824	824	pdftotext -layout	yes	no	high		form_feed_split
825	825	pdftotext -layout	yes	no	high		form_feed_split
826	826	pdftotext -layout	yes	no	high		form_feed_split
827	827	pdftotext -layout	yes	no	high		form_feed_split
828	828	pdftotext -layout	yes	no	high		form_feed_split
829	829	pdftotext -layout	yes	no	high		form_feed_split
830	830	pdftotext -layout	yes	no	high		form_feed_split
831	831	pdftotext -layout	yes	no	high		form_feed_split
832	832	pdftotext -layout	yes	no	high		form_feed_split
833	833	pdftotext -layout	yes	no	high		form_feed_split
834	834	pdftotext -layout	yes	no	high		form_feed_split
835	835	pdftotext -layout	yes	no	high		form_feed_split
836	836	pdftotext -layout	yes	no	high		form_feed_split
837	837	pdftotext -layout	yes	no	high		form_feed_split
838	838	pdftotext -layout	yes	no	high		form_feed_split
839	839	pdftotext -layout	yes	no	high		form_feed_split
840	840	pdftotext -layout	yes	no	high		form_feed_split
841	841	pdftotext -layout	yes	no	high		form_feed_split
842	842	pdftotext -layout	yes	no	high		form_feed_split
843	843	pdftotext -layout	yes	no	high		form_feed_split
844	844	pdftotext -layout	yes	no	high		form_feed_split
845	845	pdftotext -layout	yes	no	high		form_feed_split
846	846	pdftotext -layout	yes	no	high		form_feed_split
847	847	pdftotext -layout	yes	no	high		form_feed_split
848	848	pdftotext -layout	yes	no	high		form_feed_split
849	849	pdftotext -layout	yes	no	high		form_feed_split
850	850	pdftotext -layout	yes	no	high		form_feed_split
851	851	pdftotext -layout	yes	no	high		form_feed_split
852	852	pdftotext -layout	yes	no	high		form_feed_split
853	853	pdftotext -layout	yes	no	high		form_feed_split
854	854	pdftotext -layout	yes	no	high		form_feed_split
855	855	pdftotext -layout	yes	no	high		form_feed_split
856	856	pdftotext -layout	yes	no	high		form_feed_split
857	857	pdftotext -layout	yes	no	high		form_feed_split
858	858	pdftotext -layout	yes	no	high		form_feed_split
859	859	pdftotext -layout	yes	no	high		form_feed_split
860	860	pdftotext -layout	yes	no	high		form_feed_split
861	861	pdftotext -layout	yes	no	high		form_feed_split
862	862	pdftotext -layout	yes	no	high		form_feed_split
863	863	pdftotext -layout	yes	no	high		form_feed_split
864	864	pdftotext -layout	yes	no	high		form_feed_split
865	865	pdftotext -layout	yes	no	high		form_feed_split
866	866	pdftotext -layout	yes	no	high		form_feed_split
867	867	pdftotext -layout	yes	no	high		form_feed_split
868	868	pdftotext -layout	yes	no	high		form_feed_split
869	869	pdftotext -layout	yes	no	high		form_feed_split
870	870	pdftotext -layout	yes	no	high		form_feed_split
871	871	pdftotext -layout	yes	no	high		form_feed_split
872	872	pdftotext -layout	yes	no	high		form_feed_split
873	873	pdftotext -layout	yes	no	high		form_feed_split
874	874	pdftotext -layout	yes	no	high		form_feed_split
875	875	pdftotext -layout	yes	no	high		form_feed_split
876	876	pdftotext -layout	yes	no	high		form_feed_split
877	877	pdftotext -layout	yes	no	high		form_feed_split
878	878	pdftotext -layout	yes	no	high	TerraMar	form_feed_split
879	879	pdftotext -layout	yes	no	high	Ghislaine Maxwell	form_feed_split
880	880	pdftotext -layout	yes	no	high		form_feed_split
881	881	pdftotext -layout	yes	no	high		form_feed_split
882	882	pdftotext -layout	yes	no	high		form_feed_split
883	883	pdftotext -layout	yes	no	high		form_feed_split
884	884	pdftotext -layout	yes	no	high		form_feed_split
885	885	pdftotext -layout	yes	no	high		form_feed_split
886	886	pdftotext -layout	yes	no	high		form_feed_split
887	887	pdftotext -layout	yes	no	high		form_feed_split
888	888	pdftotext -layout	yes	no	high		form_feed_split
889	889	pdftotext -layout	yes	no	high		form_feed_split
890	890	pdftotext -layout	yes	no	high		form_feed_split
891	891	pdftotext -layout	yes	no	high		form_feed_split
892	892	pdftotext -layout	yes	no	high		form_feed_split
893	893	pdftotext -layout	yes	no	high		form_feed_split
894	894	pdftotext -layout	yes	no	high		form_feed_split
895	895	pdftotext -layout	yes	no	high		form_feed_split
896	896	pdftotext -layout	yes	no	high		form_feed_split
897	897	pdftotext -layout	yes	no	high		form_feed_split
898	898	pdftotext -layout	yes	no	high		form_feed_split
899	899	pdftotext -layout	yes	no	high		form_feed_split
900	900	pdftotext -layout	yes	no	high		form_feed_split
901	901	pdftotext -layout	yes	no	high		form_feed_split
902	902	pdftotext -layout	yes	no	high		form_feed_split
903	903	pdftotext -layout	yes	no	high		form_feed_split
904	904	pdftotext -layout	yes	no	high		form_feed_split
905	905	pdftotext -layout	yes	no	high		form_feed_split
906	906	pdftotext -layout	yes	no	high		form_feed_split
907	907	pdftotext -layout	yes	no	high		form_feed_split
908	908	pdftotext -layout	yes	no	high		form_feed_split
909	909	pdftotext -layout	yes	no	high		form_feed_split
910	910	pdftotext -layout	yes	no	high		form_feed_split
911	911	pdftotext -layout	yes	no	high		form_feed_split
912	912	pdftotext -layout	yes	no	high		form_feed_split
913	913	pdftotext -layout	yes	no	high		form_feed_split
914	914	pdftotext -layout	yes	no	high		form_feed_split
915	915	pdftotext -layout	yes	no	high		form_feed_split
916	916	pdftotext -layout	yes	no	high		form_feed_split
917	917	pdftotext -layout	yes	no	high		form_feed_split
918	918	pdftotext -layout	yes	no	high		form_feed_split
919	919	pdftotext -layout	yes	no	high		form_feed_split
920	920	pdftotext -layout	yes	no	high		form_feed_split
921	921	pdftotext -layout	yes	no	high		form_feed_split
922	922	pdftotext -layout	yes	no	high	TerraMar	form_feed_split
923	923	pdftotext -layout	yes	no	high		form_feed_split
924	924	pdftotext -layout	yes	no	high		form_feed_split
925	925	pdftotext -layout	yes	no	high		form_feed_split
926	926	pdftotext -layout	yes	no	high		form_feed_split
927	927	pdftotext -layout	yes	no	high	NSO Group	form_feed_split
928	928	pdftotext -layout	yes	no	high		form_feed_split
929	929	pdftotext -layout	yes	no	high		form_feed_split
930	930	pdftotext -layout	yes	no	high		form_feed_split
931	931	pdftotext -layout	yes	no	high		form_feed_split
932	932	pdftotext -layout	yes	no	high		form_feed_split
933	933	pdftotext -layout	yes	no	high		form_feed_split
934	934	pdftotext -layout	yes	no	high		form_feed_split
935	935	pdftotext -layout	yes	no	high		form_feed_split
936	936	pdftotext -layout	yes	no	high		form_feed_split
937	937	pdftotext -layout	yes	no	high		form_feed_split
938	938	pdftotext -layout	yes	no	high		form_feed_split
939	939	pdftotext -layout	yes	no	high		form_feed_split
940	940	pdftotext -layout	yes	no	high		form_feed_split
941	941	pdftotext -layout	yes	no	high		form_feed_split
942	942	pdftotext -layout	yes	no	high		form_feed_split
943	943	pdftotext -layout	yes	no	high		form_feed_split
944	944	pdftotext -layout	yes	no	high		form_feed_split
945	945	pdftotext -layout	yes	no	high		form_feed_split
946	946	pdftotext -layout	yes	no	high		form_feed_split
947	947	pdftotext -layout	yes	no	high		form_feed_split
948	948	pdftotext -layout	yes	no	high		form_feed_split
949	949	pdftotext -layout	yes	no	high		form_feed_split
950	950	pdftotext -layout	yes	no	high		form_feed_split
951	951	pdftotext -layout	yes	no	high		form_feed_split
952	952	pdftotext -layout	yes	no	high		form_feed_split
953	953	pdftotext -layout	yes	no	high		form_feed_split
954	954	pdftotext -layout	yes	no	high		form_feed_split
955	955	pdftotext -layout	yes	no	high		form_feed_split
956	956	pdftotext -layout	yes	no	high		form_feed_split
957	957	pdftotext -layout	yes	no	high		form_feed_split
958	958	pdftotext -layout	yes	no	high		form_feed_split
959	959	pdftotext -layout	yes	no	high		form_feed_split
960	960	pdftotext -layout	yes	no	high		form_feed_split
961	961	pdftotext -layout	yes	no	high		form_feed_split
962	962	pdftotext -layout	yes	no	high		form_feed_split
963	963	pdftotext -layout	yes	no	high		form_feed_split
964	964	pdftotext -layout	yes	no	high		form_feed_split
965	965	pdftotext -layout	yes	no	high		form_feed_split
966	966	pdftotext -layout	yes	no	high		form_feed_split
967	967	pdftotext -layout	yes	no	high		form_feed_split
968	968	pdftotext -layout	yes	no	high		form_feed_split
969	969	pdftotext -layout	yes	no	high		form_feed_split
970	970	pdftotext -layout	yes	no	high		form_feed_split
971	971	pdftotext -layout	yes	no	high		form_feed_split
972	972	pdftotext -layout	yes	no	high		form_feed_split
973	973	pdftotext -layout	yes	no	high		form_feed_split
974	974	pdftotext -layout	yes	no	high		form_feed_split
975	975	pdftotext -layout	yes	no	high		form_feed_split
976	976	pdftotext -layout	yes	no	high		form_feed_split
977	977	pdftotext -layout	yes	no	high		form_feed_split
978	978	pdftotext -layout	yes	no	high	Ghislaine Maxwell; Ehud Barak; Jean-Luc Brunel	form_feed_split
979	979	pdftotext -layout	yes	no	high		form_feed_split
980	980	pdftotext -layout	yes	no	high		form_feed_split
981	981	pdftotext -layout	yes	no	high		form_feed_split
